Modulator	TF	significantTriplets	pvalue
Bmpr1b	Tcf3	202	8.770761894538737E-14
Bmpr1b	Tcf7	221	0.0
Bmpr1b	Zfp36l1	183	2.039871049852593E-9
Bmpr2	Nfkb1	368	0.0
Bmpr2	Psmc3ip	151	5.718873964524196E-4
Bmpr2	Tcf3	360	0.0
Bmpr2	Zdhhc2	351	0.0
Braf	Nfkb1	211	4.440892098500626E-16
Brca1	Epas1	271	0.0
Brca1	Nfkb1	249	0.0
Brca1	Psmc3ip	154	2.269858821103421E-4
Brca1	Tcf3	235	0.0
Brca1	Tcf7	282	0.0
Brca1	Tgif1	164	7.081801022601475E-6
Brca1	Zfp36l1	204	2.7422508708241367E-14
Bsn	Epas1	145	0.00307810351166915
Bsn	Tcf7	208	2.55351295663786E-15
Bst1	Psmc3ip	156	1.1895332408573545E-4
Bst1	Tcf3	163	1.0284176798491806E-5
Bst1	Tgif1	150	7.687880084403798E-4
Btc	Zfp36l1	205	1.5210055437364645E-14
Btnl9	Epas1	204	2.7422508708241367E-14
Btnl9	Nfkb1	287	0.0
Btnl9	Tcf3	479	0.0
Btnl9	Tgif1	198	8.461009670668318E-13
Btnl9	Zfp36l1	200	2.751132655021138E-13
C130060K24Rik	Tgif1	202	8.770761894538737E-14
C1qbp	Epas1	488	0.0
C1qbp	Nfkb1	822	0.0
C1qbp	Psmc3ip	286	0.0
C1qbp	Tcf3	1007	0.0
C1qbp	Tcf7	256	0.0
C1qbp	Tgif1	415	0.0
C1qbp	Zdhhc2	310	0.0
C1qbp	Zfp36l1	477	0.0
C1qtnf1	Epas1	381	0.0
C1qtnf1	Nfkb1	160	3.0417907412982892E-5
C1qtnf1	Tcf3	244	0.0
C1qtnf1	Tcf7	333	0.0
C1qtnf1	Tgif1	152	4.228344153047736E-4
C1qtnf1	Zfp36l1	226	0.0
C3ar1	Epas1	227	0.0
C3ar1	Nfkb1	271	0.0
C3ar1	Tcf3	413	0.0
C3ar1	Zfp36l1	252	0.0
C5ar2	Nfkb1	412	0.0
C5ar2	Tcf3	421	0.0
C5ar2	Tgif1	298	0.0
C5ar2	Zfp36l1	153	3.1073936805958713E-4
Cacna1a	Epas1	254	0.0
Cacna1a	Zfp36l1	236	0.0
Cacna1d	Tcf7	144	0.003987619452512692
Cacnb3	Nfkb1	488	0.0
Cacnb3	Psmc3ip	150	7.687880084403798E-4
Cacnb3	Tcf3	449	0.0
Cacnb3	Tcf7	159	4.3155750089285405E-5
Cacnb3	Tgif1	215	0.0
Cacnb4	Nfkb1	164	7.081801022601475E-6
Cacnb4	Tcf3	154	2.269858821103421E-4
Cacnb4	Tcf7	194	7.544187496932864E-12
