p1,p2,pvalue
P61769,Q99075,0.012537637593168468
P46108,P50570,0.0060960560738437235
P05019,P29474,0.015153758823239055
P46108,P10586,0.033787452490251245
P09601,Q9NYK1,0.010341082975467694
P46108,P20336,0.03141813514980996
P05067,P34995,0.1692334271188114
P05067,O00560,0.07085739671257218
P05067,Q96QZ7,0.1056814255392665
P05067,P61224,0.014117182486795991
P05067,Q16620,0.11752801224147293
P05067,P23415,0.04889185053556444
P01034,P01375,0.00861345574806259
P23528,P62491,0.007107952021323856
P10253,Q9BX66,0.0082926106915445
P05067,A6NL26,0.15904042647712127
P61769,P13612,0.019250703391085443
P09601,P11234,0.003578656399624858
P29279,O14920,0.006268818796584234
Q99497,P63000,0.009526630139691001
P46108,Q9ULC3,0.019472826891751813
P05067,Q86WV1,0.017893281998124292
P05067,P46663,0.06557579347450516
P46108,P04626,9.625351695542721e-4
P19022,P17252,0.012463596426279679
P48444,P42566,0.0015795448936275235
P61769,Q04912,0.015104398045313194
P05019,P05106,0.0133027296510193
P09382,P36897,0.050273952317488525
P46108,Q8NDX1,0.042376227849350905
P61769,P63000,0.0657732365862086
Q15691,P11234,0.008440693025322079
P05067,P18084,0.13092946344834394
P05067,P05556,0.08566563009033022
P05067,P34903,0.045979564637938695
O14950,P49810,0.012192112147687447
P05067,P42566,0.03470062688187966
P61769,O14764,0.03507083271632361
P05067,Q99075,0.0454119156917913
P05067,P17081,0.05163137371044968
P05019,P08138,0.006663705019991115
P46108,P21583,0.012093390591835727
P61769,Q9Y6Q6,0.014191223653684783
P61769,P14784,0.02680290241374204
P15531,Q9BUZ4,0.008169208746729849
P09601,Q9GZY6,0.004170985734735179
P23528,Q15465,0.0211017325633052
P29279,Q12879,0.00819388913569278
P46108,P55040,0.020213238560639717
P05067,P78357,0.16256972209882029
P05067,O00144,0.06799447159287231
P05067,P30626,0.10866775260378103
P24593,P15692,0.011278937756059036
P05067,P39086,0.04859568586800928
Q15691,P36897,0.019620909225529393
P46108,O14559,0.012118070980798657
P05067,P78334,0.16790068611481318
P46108,Q68EM7,3.208450565180907e-4
P05067,P49682,0.0787551211807098
P46108,P11362,0.0019250703391085443
P05067,Q9HCU4,0.04886717014660151
P05019,Q15811,0.0028629251196998864
P09382,P08134,0.011106175033318524
P46108,Q5TCQ9,0.05580235944518486
P46108,P09619,0.00409694456784639
P05067,P29474,0.04252431018312849
P46108,P62745,0.012512957204205538
P00441,Q9BX66,0.02203958734389654
P46108,O14827,0.029961992200997087
P05067,Q5JS13,0.020731526728861246
P05067,O14494,0.04405449429883015
P05067,P17948,0.08889876104447406
P46108,Q92930,0.010489165309245273
P05067,P20337,0.13357026506737746
P46108,P10912,0.004738634680882571
P05067,P41240,0.10474357075867516
P46108,P43403,6.170097240732514e-4
P05067,P21728,0.0363788933313589
P05067,P41743,0.007033910854435066
P29279,P08887,0.007231353966138506
P29279,Q01974,0.003973542623031739
P58546,Q99835,0.006984550076509206
P19022,P08648,0.00434374845747569
P61769,P08571,0.03706994422232095
P62633,P13612,0.0037760995113282985
P05067,Q96S79,0.021027691396416408
Q15691,P34925,0.011204896589170244
P05067,P12314,0.1694802310084407
P46108,A1A4S6,0.008317291080507428
P05067,O95977,0.12076114319561676
P05067,P49758,0.07428797077841946
P05067,P40617,0.13275581223160077
P01034,Q12879,0.007527518633693667
P05067,P49795,0.0887753590996594
P05067,Q14964,0.024088059627819736
Q15691,P04629,0.005947973740066143
P05067,P01375,0.04351152574164569
Q15691,Q01082,5.182881682215312e-4
P61769,P31994,0.004170985734735179
P05067,Q02763,0.004911397403623081
P09601,P05107,0.006219458018658374
P05067,P48167,0.002270595784589565
P24593,O60674,0.014857594155683893
P01034,P63000,0.01675798410582951
P01034,P25116,0.008267930302581569
P46108,Q9BUZ4,0.04141369267979663
P05067,P35368,0.11350510884051533
P19022,Q13224,0.014314625598499432
P19022,P17302,0.0019497507280714745
P05067,Q02643,0.06328051730095266
P05067,P01732,0.07065995360086876
P05067,Q96PD2,0.0763611234513056
P00441,P30626,3.702058344439508e-4
P19022,O60674,0.04605360580482749
P46108,Q13224,0.03931585961794758
P61769,P28472,0.039291179228984646
P01034,P04626,0.013031245372427069
P61769,O60353,0.043980453131941356
P05019,P43403,0.01342613159583395
P24593,P07948,0.02206426773285947
P23528,Q15286,0.004170985734735179
P05067,Q8N5V2,0.06908040870724122
Q99497,Q9BUZ4,0.006071375684880794
P46108,P17252,0.04829952120045412
P80162,P40189,0.00940322819487635
P10147,P07948,0.029739868700330716
P61978,P13612,0.004022903400957599
P05019,Q15077,0.006959869687546276
P09601,P01375,0.021422577619823288
P46108,Q15283,0.010587886865096994
P61769,P08887,0.005528407127696333
P19022,Q05397,0.012858482649686559
P05067,Q15283,0.16681474900044424
P61978,P06239,0.0223357520114517
P61769,P63146,0.016535860605163138
P05067,P04626,0.031837701762179774
P05019,P63000,0.014660151043980453
P46108,P29320,0.0033812132879214177
P46108,Q7Z698,0.023668493015449925
P61769,P17813,0.019571548447603535
P46108,Q7KZI7,0.056073843723777085
P46108,P29992,0.05202625993385656
P05067,Q13443,0.12527765437583296
P61769,Q9BXL7,0.01791796238708722
P46108,Q7LDG7,0.01833752899945703
P05067,P43681,0.08040870724122612
P05067,Q8IZJ1,0.054593020386001286
P19022,Q9NYQ6,0.003924181845105879
P30101,O00560,0.011328298533984895
P05067,Q14573,0.08297546769337084
P46108,Q7Z6J2,0.04190730045905523
P61769,Q13418,0.050940322819487634
P01034,Q9Y6N7,0.018288168221531172
P61769,Q9NZQ7,0.0026161212300705857
P05067,Q63HR2,0.09116935682906363
P15531,Q16849,0.00446715040229034
P05067,P61026,0.014610790266054594
P05019,P16234,0.0074287970778419464
P46108,P51148,0.010612567254059924
P19022,P06213,0.006713065797916975
P05067,P32297,0.04440001974431117
P61769,Q06187,0.023347647958931832
P19022,P05107,0.0133027296510193
P61769,Q14449,0.020830248284712968
P61769,Q15283,0.01762179771953206
P46108,O95267,0.014906954933609754
P61769,P19235,0.015425243101831285
P48444,P49768,0.0028135643417740263
P09601,P24394,0.00449183079125327
P61769,P08134,0.05476578310874179
P46108,Q9H4E5,0.014660151043980453
P46108,P17081,0.020632805173009527
P46108,Q9Y2H9,0.038106520558764005
P46108,Q92730,0.030134754923737597
P61978,O00443,0.00866281652598845
P46108,Q13574,0.020410681672343157
P05067,Q15907,0.018732415222863914
P29279,P06239,0.01315464731724172
P05067,P20336,0.00434374845747569
P05067,P18505,0.1254010563206476
P00738,Q8IU80,0.006515622686213534
P24593,P35240,0.013969100153018412
P05067,O43566,0.008243249913618638
P05067,P30532,0.058221037563552
P05019,Q15669,0.011155535811244385
P61769,O43557,0.007132632410286786
P05019,P25116,0.012315514092502098
P61769,Q8IWK6,0.023594451848561133
P46108,O14512,0.04499234907942149
P46108,P20827,0.04136433190187078
P61769,P48023,0.011451700478799546
P46108,P62070,0.011747865146354706
P61978,P11233,0.01801668394293894
P61769,O14939,0.00436842884643862
P46108,Q9NP90,0.04847228392319463
P05067,Q9P0L0,0.023767214571301643
P19022,P48167,0.007897724468137617
P10147,Q9H0M0,0.012414235648353818
P46108,P20338,0.015869490103164026
P61769,P24046,0.036995903055432156
P05067,O95800,0.16123698109482204
P05067,P43657,0.12081050397354262
P05067,P04233,0.004269707290586899
P46108,P63000,0.01322868848413051
P61769,P01589,0.0037514191223653685
P23528,Q92835,0.03714398538920973
P09382,P01375,0.00950194975072807
P05067,P40123,0.097388814847722
P15531,Q92835,0.01268571992694605
P05067,P63146,0.10713756848807937
P05067,P21583,0.062811589910657
P61769,P07948,0.0223357520114517
P46108,P17302,0.01638777827138556
P05067,O60716,0.014067821708870132
P05067,Q8WZ94,0.16022508514734193
P23528,O00560,0.012611678760057258
P05067,P18627,0.13033713411323364
P05067,P31749,5.676489461473913e-4
P61769,P31644,0.03721802655609852
P46108,A7KAX9,0.002073152672886125
P05067,P36897,0.054222814551557336
P09601,P11233,0.010242361419615972
P05067,Q14332,0.07648452539612025
P05067,Q14289,0.03028283725751518
P19022,P34925,7.650920578508317e-4
P09601,P46934,0.010143639863764252
P61769,Q01151,0.0029369662865886765
P05067,P37023,0.09257613899995064
P05067,O95996,0.10548398242756306
P46108,Q8WUD1,8.638136137025519e-4
P05067,P21554,0.042351547460387974
P05019,P06213,0.0010612567254059924
P04179,P30626,0.003011007453477467
P19022,P32004,0.0016042252825904536
P01034,P61586,0.020237918949602647
P05067,P41594,0.14958783750431906
P05067,P01133,0.05286539315859618
P05067,P21860,0.059973345179920035
P05067,P16144,0.09190976849795153
P05067,P47804,0.08996001776988005
P52597,Q13418,0.002986327064514537
P29279,P37173,0.012636359149020188
P46108,P06239,0.03998223011994669
P05067,P51686,0.08569031047929315
P05067,P32248,0.07673132928574955
P05067,P04629,0.09479737400661434
P05067,P42261,0.05972654129029074
P46108,Q96PD2,0.03176366059529098
P46108,P61224,0.009822794807246162
P46108,O75916,0.04013031245372427
P05067,Q96AM1,0.15834937558615925
P19022,Q9BX66,0.03067772348092206
P46108,P61586,0.00918110469420998
P05067,O14764,0.07912532701515376
P23528,P17813,0.012019349424946937
